sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63
C3/C3dc,492632,0.30202168944076635,-0.6479643760619209,0.07575400206273612,0.32508202819680065,-0.1530158646145934,-0.01476754516039552,0.004157208568507102,2.2570188487715923e-16,-3.649226277190528e-16,0.01843210348847851,-0.014461732499724236,0.004620138954576873,0.03240775557120501,0.018078526416385535,0.08858317227821595,0.004146616080317186,0.06710684533677856,-0.027874502224055558,0.01608718326980768,-0.006063780439504579,-0.0038216038231407286,-0.005861190519716863,-0.009215650773046064,0.0999957526183665,9.85634419680899e-05,0.001529862413933781,-0.00017332061903698457,0.0036739477646961717,-0.00470654077929643,-0.0004939790032319614,0.0015058713332932398,-0.0012510560026179366,7.538437539425383e-05,-3.995798409659903e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1b/C3,493145,0.3676314244398386,-0.5564869139677802,0.11873160401625536,0.18231758759425512,0.36786662767608497,0.14857366952928897,-0.020951810579599127,1.1797521239954406e-16,-3.5974098985559046e-16,-0.0053156317023423435,0.0027921116314704618,-0.014759572705534517,-0.007744059818039189,0.01482667557302934,-0.005919368726666233,-0.02285800828439664,-0.02023314557258922,0.031113156821175564,3.0446555595466816e-05,0.002937910955792931,0.007168908200571954,0.008597668287261448,0.022787586059580523,8.168702511070724e-07,0.003316790431529391,-0.013854347842365354,-0.00019426549179021123,-0.005499233699693692,0.00807266155593055,0.0031013012422262407,-0.004101980752714373,0.002752002923589647,0.0007158114360425776,-1.3049695096024308e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C115d,492123,0.3023535958910624,-0.6369724171640185,0.07624760653695982,0.3090440691068762,-0.14759925788673767,-0.013592614457108127,0.003578705006299299,-3.4339581994442236e-16,-7.178998648406341e-17,0.018295881248743134,-0.028430179738182775,0.04622466278224265,-0.052027017319331015,-0.05608583176044508,-0.1687421915505049,0.04470061929066268,-0.11666279334780479,-0.0017425425404557836,-0.024020661525381175,0.007410263317364755,-0.0030519905691426953,-0.006111509290202335,-0.013062355630849941,9.112600849435765e-07,0.002579469364287948,0.01531076837072917,-0.0007675657176654319,0.0007141889714322899,0.0046161739169298345,-0.0005822367603282672,0.002533194889619332,-0.0004976091190836953,0.00021339700250845657,-0.00017129611258570108,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42en,493665,0.2083655141726107,-0.37816314287506286,-0.1942757727511792,-0.31229363856790265,-0.033776987571951966,-0.13012728889374667,0.23459550313008684,-0.2060385648883142,0.5393342591678255,0.027723499878190914,-0.040170972330782935,-0.0020339090536576876,-0.006318470910744482,0.012036518766709704,0.0024174684229892637,-0.006610999967535264,-0.0043564616859298935,0.008002696602172215,0.003824262438425526,-0.0003789312158626797,-0.00036252891345657496,0.0011082742306240555,0.004109409607382401,1.7977047522127908e-07,-0.0006157787874956309,-0.002662867684387467,-0.0007487551230505332,-0.00046624499077125686,0.0002365552125384539,0.00012593586398489888,-0.00012886788013894554,0.000237618407913645,6.331453863270681e-05,-5.511506220378107e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1or,493666,0.20836551417261076,-0.3781631428750629,-0.1942757727511796,-0.312293638567904,-0.03377698757195125,-0.13012728889374525,0.23459550313011304,0.570096452014746,-0.09123249823133144,0.027723499878191716,-0.04017097233078291,-0.002033909053657513,-0.006318470910744642,0.012036518766709742,0.002417468422989062,-0.006610999967535136,-0.004356461685929972,0.008002696602172111,0.0038242624384255096,-0.00037893121586264904,-0.0003625289134565182,0.0011082742306240613,0.0041094096073824,1.7977047519380329e-07,-0.00061577878749561,-0.0026628676843874137,-0.0007487551230505458,-0.0004662449907712636,0.00023655521253846556,0.00012593586398487716,-0.00012886788013893418,0.00023761840791364247,6.331453863270133e-05,-5.511506220378072e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42eo,493667,0.2083655141726107,-0.37816314287506286,-0.19427577275117996,-0.31229363856790415,-0.03377698757195186,-0.1301272888937445,0.23459550313012478,-0.3640578871264336,-0.4481017609364672,0.027723499878192264,-0.04017097233078302,-0.002033909053657498,-0.006318470910744498,0.012036518766709694,0.0024174684229892065,-0.006610999967535298,-0.004356461685929968,0.008002696602172106,0.003824262438425541,-0.0003789312158626241,-0.00036252891345655864,0.0011082742306241717,0.004109409607382381,1.7977047517221517e-07,-0.0006157787874956348,-0.0026628676843874436,-0.0007487551230505285,-0.0004662449907712654,0.00023655521253845082,0.000125935863984894,-0.00012886788013893803,0.0002376184079136562,6.331453863269469e-05,-5.51150622037799e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1k,493668,0.198923714764791,-0.38028305458421935,-0.20399643487434418,-0.3099891696084498,-0.025696847862968032,-0.2531901836652795,-0.5638976717772192,1.2501188723137536e-15,-2.138069703780019e-14,0.14387392434870724,-0.02370360673543131,-0.004529134140874961,-0.008505209462929094,0.008611894975539167,0.002765789624063057,-0.00785835089710405,-0.0035867598698357283,0.005885810062555899,0.0016522970229965678,-0.004407912075871233,0.0028602003004362187,0.003843713226269076,0.0025075172609293718,1.8792356476814508e-07,0.00013597094349832627,0.0013854824921667411,0.0032570715823198155,-6.910081895680316e-05,0.0005629430710297668,-0.002835948479865634,-0.0031718677510978776,0.0012382694854085623,-0.0005586168916376601,0.00012965116913770734,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C1-C42.2,491689,-0.18788658662667518,0.07704550768653677,0.23110626441088064,-0.11174758279402339,-0.11036854868330005,0.03360239172933941,-0.005560312424843899,-2.4158298363856216e-17,-3.1333679477917103e-16,-0.015277004734940407,0.09179804031891052,0.0006513482075800167,0.028659912703251324,-0.047843471761013216,-0.03614228770031562,0.016692334162387787,0.0510589413924556,0.04203707125924688,0.019193101529186157,-0.013504093280323806,0.018773288650879932,-0.017212939554086516,0.010491469381715125,-1.5855125504726314e-07,-0.004154335339192478,-0.0013007311342804664,0.005288344310458303,-0.0032168986945843333,0.002018416475390302,-0.0008147836465974791,0.0013791092765807987,-0.001078648892516359,0.0013134237185862317,0.0008036107098801036,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C42.2-C1-C1k,491690,-0.3400453951806215,0.000894061211370078,-0.06034998203844233,0.03011360786817545,0.004841327382722591,-0.03538340794972874,-0.017597061100886546,-1.282323016137455e-16,-1.055388484467147e-15,-0.08925530938231813,-0.027165119650609238,-0.0028352547155568717,0.03486163207353608,-0.04496645556751739,-0.017369740099983853,-0.010883150861404144,0.01541391036287118,0.012308876593342446,0.010312803357868517,-0.007313993085803854,-0.015028664340874099,9.310757023249534e-05,0.01804484793048204,5.770578418825138e-07,-0.000318685167355878,-0.025485400002906177,0.008022174963900166,0.00524427130020947,0.019299141758421852,-0.007291817366655591,0.003970961634530928,-0.014236258673478708,0.011987875628827804,-8.155700764619728e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C42.2-C1-C3cg-C1b,491691,-0.3693828558536256,-0.045939279944118463,-0.10289080058480699,0.014645339931544113,-0.005696027235322604,0.05980500676609009,-0.015371783485058573,1.9780053955409041e-16,-7.92792918899509e-16,-0.09378419892244488,-0.0524507893356941,-0.0186719577076731,-0.0047489767748420415,0.03508657863410067,0.004077601294566957,0.04949152316502602,-0.0053075640168912565,0.020814779656466643,-0.02078534065874499,0.0006469722364971533,-0.02391389023649886,-0.008610771704612625,0.004725757691867784,9.766378339890494e-08,0.003002318763203816,-0.005448941832936827,0.0030065384115430323,0.01764511023007177,0.004553501908813061,0.011543161762155993,-0.006248712985360477,-0.0014294974757181667,-0.005414633221787812,0.006489950136015828,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C42a/C42.2-C1,493232,0.01818884213471668,0.24629044246739956,0.06478758966905797,0.031239652261565023,-0.04666182817010962,-0.07603908077612812,0.011461178305355386,8.905534573728668e-17,3.4332098686447664e-16,-0.0066080558573414295,0.062191830567617,0.031050254808696436,-0.020965082618204692,0.018452644275129777,0.023991670767380752,0.044402898421207364,-0.010048429115981779,0.02301965941358395,0.018385388138198875,0.057220754226818,-0.02102305341777603,0.03644297645105714,-0.0010646860530945203,1.3294756674853214e-06,-0.02026255302834503,0.0054148291754998745,0.011905434324843457,-0.01741584983294669,-0.008946711161095256,-0.009090486701567237,0.004329848992224731,-0.008274245187237416,-4.417150615612236e-05,0.0010006350605383679,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C42.2-C1-C1k-C3cg,492209,-0.31987682226021724,0.026185923673705435,-0.025985803296805145,0.022105726964680713,0.001180771558109176,-0.04677217618504862,-0.027442227048098847,1.7992722821464808e-16,-1.3186679683566262e-15,-0.06359759849041081,-0.031038727368580057,-0.012507973913908649,0.01717427742380618,-0.013323713480430944,-0.03160899786758903,-0.013689922889990878,0.03469751860502311,0.009754711633574545,-0.004215989139487253,-0.008079647662991515,-0.023275450864044457,-0.005866739025986364,0.0203515976505471,9.291238771050853e-07,-0.0041356339245323635,0.005989925558391007,0.010850673671352458,-0.00790334057768195,-0.0025918065678865497,0.02554489586608258,0.01044062311287508,0.00246742855528051,-0.004216406013712504,-0.0012462436791113413,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a-C42ak-C42.2-C1,493239,0.48959877526040285,0.1591659136548582,-0.35302271163226845,0.05934819196188374,-0.11509411060935018,0.030372354460979557,-0.013685109483283619,3.0301474083515546e-16,-7.328980792185705e-16,-0.0766603300997476,0.09600984925836621,0.026057532336642344,0.10788847811718724,-0.11787016432409837,0.013848581602318258,-0.017592854450036,-0.02562677203273368,0.02433151467705884,0.011251227276190674,-0.008983203286157614,-0.008878890105747264,0.05546648241275089,-0.011701878990375562,4.995645196288447e-07,-0.016032278168428605,0.004430004396665728,-0.009766169254707358,0.005498803007378137,-0.000449281774244065,0.0064919712359677905,-0.004106735780314983,0.002938198850237428,-0.002061815065861298,0.0004841833404586705,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
