sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63
C3/C3dc,492632,0.3969127489446122,-0.5936213290005747,0.2251450568848371,0.2538985484779784,0.10637500261230456,0.047726966211689405,0.04831741267477969,4.396044293272462e-16,-4.185240339913504e-16,-0.026923912204741336,-0.04105243433050505,-0.026601103797972273,0.07149922652665353,-0.05598342504444363,-0.09166046623937296,0.012723216072985823,-0.0022646733935475926,0.010878343069338233,-0.02476740417806777,0.15386821239935716,0.0029591762808629084,0.006915530531667132,-0.015520336905675731,-0.0030682755467574146,-0.006442449780404508,0.002894290210780845,0.0005833909047208529,-0.009340956758911176,-0.002077365519362273,-0.0011283011215049573,-0.0031721187106924713,0.0010426826505781077,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1b/C3,493145,0.47552930253541176,-0.44778536380579853,0.23856570436833383,0.08214257367384048,-0.3567815000061919,-0.01941833355906587,-0.06191124367310065,-2.183601813756805e-15,2.3638818161850617e-15,0.1044023688787719,-0.028034486673379995,-0.01875363518549455,-0.001750081114322072,-0.025750614391248303,0.024134779364981977,-0.026881604302135032,0.008839514607805257,-0.00738645869058847,0.030639101241590038,3.4671818057038594e-06,0.006202648843166434,-0.0018815884179175424,0.00978952987759907,0.00829142457651396,0.009699534799561295,-0.003687901081678173,0.007817542308973373,0.0069079109731057025,0.0013777699036322106,-0.0057659612264828386,0.0032443197245965727,-0.0021311091854982938,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C115d,492123,0.39772806470829036,-0.5811674683096546,0.21767444859078514,0.23757872750853368,0.10438458085445783,0.05042336049284544,0.052195214682368506,5.751122470893885e-16,-6.79810060624748e-16,-0.030102852039322805,-0.04201735641794311,0.044684993664022725,-0.16388682253701012,0.1529214743774814,0.132951647683067,0.0024134166784016576,0.02392917343551606,-0.011686990376144958,0.033109847011000906,6.477624122173285e-06,-0.009821609488951616,0.00011254796076545556,0.010400522419318204,-0.010387315920639477,-0.008599704464576604,0.0055617947457378344,0.00010249036629420671,0.002237061619671681,0.0021525574592850642,0.00011132380040289266,0.0016747570662316847,-0.0020359260736098595,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42en,493665,0.23860933723659697,-0.3931656637756032,-0.3081612207105226,-0.18912735311375997,0.048243226243093004,0.08843757027644224,-0.11542460004780594,-0.3504505945900638,-0.45882209415502717,-0.211989928406976,0.07140884178401187,0.009714895412621686,0.00125881982042147,-0.024215292457491957,0.011062474883986874,-0.01469193976574474,0.007355671202588996,-0.0022373703292025877,0.009416297551129533,1.3028811965548526e-06,0.0021584821465662806,0.0034648649614686627,0.0006929672960870812,0.00480424223273287,0.0037277068049230864,-0.001580480655609945,-0.0004633708550431059,0.002676120020052165,-0.0008900014485883754,-0.0017134377987910129,-0.0003416347488073728,2.5484622542359675e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1or,493666,0.23860933723659716,-0.3931656637756031,-0.3081612207105226,-0.18912735311375978,0.048243226243093275,0.08843757027644278,-0.11542460004780297,0.5725768866508661,-0.07408807060885295,-0.21198992840695963,0.07140884178401266,0.009714895412621499,0.001258819820421489,-0.024215292457492037,0.011062474883986836,-0.014691939765744616,0.0073556712025889485,-0.0022373703292026003,0.009416297551129467,1.3028811965276734e-06,0.0021584821465662546,0.0034648649614686337,0.0006929672960871119,0.00480424223273288,0.0037277068049231185,-0.001580480655609922,-0.00046337085504310544,0.002676120020052155,-0.000890001448588362,-0.0017134377987910046,-0.00034163474880738573,2.5484622542361505e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42eo,493667,0.23860933723659716,-0.3931656637756031,-0.3081612207105221,-0.18912735311376017,0.04824322624309258,0.0884375702764428,-0.11542460004780422,-0.22212629206078538,0.5329101647638688,-0.21198992840699032,0.07140884178401452,0.009714895412621733,0.0012588198204215217,-0.024215292457491905,0.011062474883986857,-0.01469193976574469,0.007355671202589058,-0.002237370329202582,0.009416297551129582,1.3028811965216334e-06,0.0021584821465662502,0.0034648649614686484,0.0006929672960871151,0.00480424223273284,0.003727706804923109,-0.001580480655609894,-0.00046337085504311926,0.0026761200200521537,-0.0008900014485883939,-0.0017134377987910276,-0.0003416347488073817,2.5484622542355586e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1k,493668,0.2050489942725693,-0.40542458512371743,-0.33736375398305946,-0.17976990840428228,0.02876509997720839,-0.15271525551707876,0.5339901354646344,-6.151509628670328e-15,2.435423099330383e-15,0.2012325315388854,0.1838616871508362,0.004433655479402961,0.013237779262446665,0.010847823794808042,-0.002505331351825613,-0.021039927783668887,-0.012065794850474704,0.0017948042296779747,-0.00048754119937077106,-3.9948135926068653e-08,-0.002512663280334117,-0.010916145487660983,-0.011185617095146424,-0.0023067176913467977,-0.008556243457878728,0.011623381302986116,-0.0031237612360948096,0.002947947309283636,0.003561212778859881,0.00840245201407783,-0.0004858034740042522,8.516558537611026e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C1-C42.2,491689,-0.2232954242003877,0.03548517852624073,0.09537714153259155,-0.0933080967293469,0.1594774793598776,-0.11738586180943772,-0.10231956066554175,-1.115781463887244e-15,8.9978712826593e-16,0.06065046162068416,0.06654501852155599,-0.012859532694263062,0.0012384641426865725,0.01709632239849278,0.00013939419944287138,0.008866983545057647,0.03128975645472648,0.031114521054917733,-0.0325774029417203,-5.584036500856052e-06,-0.015412869451659933,-0.019400168640886655,0.018588141313536644,0.012973102842283934,0.022962235467190225,-0.007937404197319316,0.008247672986713458,-0.01274062459442609,-0.0009494978756923658,-0.0015113191536036221,-0.0026217491283991264,-0.004810195844545288,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C42.2-C1-C1k,491690,-0.2943020914179597,-0.023155636684748293,-0.03058688329353726,0.028900249823757926,0.04291116386476055,-0.1435907769510013,0.04044644962165634,2.5653442847694175e-16,-1.3399746869072208e-16,-0.007210528192388667,-0.01595986371520974,0.020799888830719,-0.00619706790491268,-0.03708000527604948,0.011359447420822424,0.048913544023513895,-0.010242566864689984,-0.0364431159164775,0.05142405811447306,7.68348579147435e-06,0.016377477684973833,0.02358809507536327,0.007671094073621365,-0.00433517670863188,0.009022214591931359,-0.0044489880059950925,-0.0064205495537819224,-0.003724501727628632,-0.003888514371577445,-0.036071277337115036,-0.0017185339001758093,0.00949029959100794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C42.2-C1-C3cg-C1b,491691,-0.2710127809039158,0.008501350020730505,0.027546642980933112,-0.029610220839661607,-0.05607446612618557,-0.006840875266941296,0.029656610523662582,7.253827715296465e-16,-3.338957053864914e-16,-0.03756645425277406,-0.1547763355347086,-0.0013862914816520848,-0.02467887467433333,-0.03045139946340565,0.0054923557187026625,-0.04021321844144299,-0.029633245844176172,-0.043288251920629905,0.00841193369122826,1.9099599317960025e-06,0.02772908374914593,0.008812719517227126,0.0024380849478585344,-0.0021482931764747718,0.015121616132019792,-0.016394103591370206,0.0240903344149653,-0.015481820335893548,0.018199588790969966,-0.003074801460455525,0.008172787697042293,0.01004705064192677,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
