sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63
C3/C3dc,492632,-0.8177877361942179,-0.4784024923343607,0.17947046894429047,0.12077481771343755,-0.026610842691355704,-2.9687696777929065e-05,-0.022533149715890415,-0.009469764429240581,-0.030981028582230424,-0.008422101370622043,-0.038402076638459196,-0.011362064559959889,0.09920315541841146,0.07638826653091309,0.0101869552235359,-0.030350546480611994,0.030813848752882476,0.0049880584251963105,-0.010627737022086794,0.007682790567979924,-0.0015452653408693055,-0.00723350308800579,0.010206805046722054,-0.010359312996326201,-0.00954815427167688,-0.009376673272081977,-0.004070500779110459,-0.00469854165438526,-0.0004285537421918822,0.00015574733705091005,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1b/C3,493145,-0.5521231481086666,-0.272863219406693,0.12733456533282472,0.020923953163566305,-0.0028458375587241424,7.847157226683188e-06,-0.00981555619272332,0.015531281467834819,0.0019020365497193041,-0.0315777323392835,0.017483336153387458,0.03907678461957816,0.003967510203171996,-0.007244429964149306,-0.0107486678666672,0.01312466309009255,-0.010292231305644309,0.002085994592599026,0.003732206823151598,-0.020949336413352945,0.01693662998196277,-0.0040352166794286135,0.004583677239929262,0.0051406492148804595,0.016631346318226135,-0.006248262610974147,0.005361307645252957,-0.007715084545384722,-0.0009543888059554954,-0.000372681130114778,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C115d,492123,-0.8581856916630983,-0.5035623725849782,0.17659967715790856,0.13095830613704343,-0.03854836558829797,-1.931323671757647e-05,0.026407880154937714,0.017233272078607014,-0.03233825914984888,0.04909877547275062,0.03371223516021265,-0.04478095922342464,-0.10641015959106948,-0.06937181593348819,-0.008285293021407066,-0.0007898856040957324,-0.020464116199850266,-0.009427140738156257,0.005268966061529627,0.003612043373099829,-0.0073062533224961205,0.004113553470703361,-0.005826839243214326,0.0034155497459381692,0.00030452114604813537,0.002462327461611509,0.00032257034334077025,0.00028967283497459753,6.15958195252477e-06,-1.2921074411247278e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C1-C42.2-C3-C1b-C3cg,491768,-0.010830812654707476,-0.15820650776627004,-0.047317370823475036,0.006996319628302048,-0.020297891119218228,-8.73121183097871e-06,0.00453654391288949,0.05414944033292064,-0.08149767395989908,0.01980391072583049,0.021839317868217738,0.010240244510483464,0.01780850884894769,0.00691026210721107,-0.017737553559448237,0.012598055750570063,0.0037464913717408037,0.018738126026200806,0.014082696499849778,0.03686425437222192,-0.020911193964967576,0.020039371535430058,-0.01926702113822259,0.00864300397466556,-0.004697358852293151,0.0015291533484679328,-0.004139057434307976,-0.0029084480065003334,-0.00148602707194054,-0.0002662615726272845,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a/C42.2/C1/C42b-C1b-C1az-C1au-C3,491771,-0.3807351647144955,0.27208514996121175,-0.15207953673709418,-0.04154769854491158,-0.048651847330074716,5.374381907151155e-05,0.10174708374796862,0.08559306990868981,0.0311145639376037,0.014867146643314589,0.037605272288565465,0.03577930791543836,0.04179383676591783,0.04779092217102803,-0.03243986337033516,-0.004554050201983093,0.01863508434264577,0.011137931520550403,0.00432441992178877,-0.02213775010405088,0.007637324334218168,0.009647001770692318,0.006999202949280407,0.019384133339279914,0.012214765519567985,0.010614714107389357,-0.002508192687550802,0.0015511473872192461,-9.483864396252992e-05,-8.922299517024856e-05,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a/C1/C42.2-C1b-C1au-C3-C115k,492288,-0.3823423080158012,0.14587567967358553,-0.13871908421000673,-0.08954359756633452,-0.003601918214352454,5.5707370730442134e-05,0.022818154725632953,-0.09446031624908287,-0.02559137524297619,-0.022081166151798528,-0.0021589829502870373,-0.022088410035482023,0.013908436688448163,-0.007389153080858021,-0.04755648779059199,-0.04180310549186729,-0.017350801262865083,0.038746730443695386,-0.014654115991173965,-0.00016257126899396984,0.01613652520432262,-0.006693574777584772,-0.002783780485644076,-0.011229842726860026,-0.005158438996098299,-0.0061097311473796625,0.007159778952821518,0.0035238533817082028,0.0011237249378843724,-8.088766186011745e-05,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3/C42.2,492292,-0.41472559605976006,-0.1644228812068749,0.08651429112915046,-0.032822240323431395,0.01450913648572074,1.6179454458470082e-05,-0.020030639718206508,0.05346783661009177,-0.013610891983948832,-0.07447862950447796,0.05028115049758564,0.08065475816283427,-0.0003328564736490109,-0.02151951196086973,-0.03610958854486491,0.031129469398306738,-0.007864990054457137,0.016827869719725032,-0.0037542723227889097,0.027676600225782725,-0.003985400881652125,0.01146902868668552,0.004412402137336859,-0.016483440881905623,-0.012100242367683239,-0.0016926894582649195,-0.008926230510925882,0.0021792264144094445,0.0006929249154310519,0.00031809220570169875,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,493380,-0.7233890021001228,-0.40765608279591403,0.16484373656340645,0.0903023417885817,-0.02018277205817847,-1.761524409179427e-05,-0.014807793322260194,0.0019836554693403877,-0.025282301360859398,-0.004625228010405169,-0.008833163479232386,-0.00894511719931574,0.015823233712312264,0.009191936300298676,-0.003274852469974887,-0.01512331184489511,-0.0008249172422179314,-0.005371879930896927,0.001210685203708454,0.0028343876956747854,-0.008968302886974172,0.002930156613538165,-0.007902310384766152,0.007871206416710061,0.0022379766158964884,0.014764418503180457,0.003991067213566375,0.009798160191759105,0.0010009357488045029,-2.845532191026883e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p,491849,-0.2549089338770672,-0.2041625599351082,-0.22481005173932075,-0.18144114385783555,0.04155960688575007,6.22514305820355e-06,-0.07661796015484537,-0.10590626969261127,0.05174096921921043,-0.027118964940386136,0.019911678156868777,0.07313223114730727,-0.010796967058165421,0.0021929274371758046,0.057442443177299254,-0.0030915944914182,-0.02884736053899927,0.018788619288347883,0.01185192179186257,0.01537348390102865,-0.002586450165725597,-0.00045419101875713474,-0.011362322282133406,0.003926317479736758,0.0014792794400792014,-0.00029245470440166226,-0.00041895442296707697,0.0014601582658423204,-0.00037773809756641303,-0.00016093809675686094,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a/C42.2/C3-C1-C1b-C1au,491869,-0.39230593097765054,0.06858685907514032,-0.06417349665652988,-0.021154602780493893,-0.0006339241271073415,3.219346331371581e-05,0.031856541336106145,0.011265540786951796,-0.12922895156940647,-0.03534178252905623,0.0019697392627500824,0.022755571054889567,-0.007322030098371996,0.02511395806885652,0.06505203127036562,0.018655141020140476,-0.01885740105421765,0.020680265716853878,0.001839298429767427,0.00032874273578310185,0.0009452004445896873,0.0019149075197150726,-0.010667456196893885,0.013982769762633608,0.00022411046234897691,-0.001968471353509175,0.004247555995431758,-1.0230848038304851e-05,0.00012835060613653655,1.3977671588716349e-06,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a/C42.2/C1/C1b-C1j-C1au-C3,491880,-0.35735438318223517,0.15748518825889435,-0.06727952608444689,-0.032991384551566846,-0.01902434750771425,5.5462158796867635e-05,0.05929804980840594,-0.034737014570086364,-0.04722145655222636,-0.026861315897075126,-0.005550818762747955,-0.016931535849854604,0.02253259377249002,-0.016960451933080038,0.006028697131234555,0.03201745554981911,0.047844555679546555,-0.05770456422157549,0.006007107166542346,0.002359695170115584,-0.0001578035673916153,-0.007451029295564689,-0.0007640337055161654,-0.02672688201303512,0.002403850182190669,0.004006833199942813,0.0019957965155174063,0.002114800855996363,0.00018188758688945564,-0.00011673643427039767,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a/C1/C42.2/C1b/C1j-C1au-C3-C115l,492460,-0.4201713683862906,0.10309707271487223,-0.13443004648960963,-0.10305446791386008,0.0006440877613699721,8.362943698814274e-05,0.0639276885439897,-0.15173485206407847,-0.00871488458361263,-0.11043758413114195,-0.06477427336246017,-0.010793032861711852,-0.011155515088977538,-0.00018628848941843918,-0.004453806534271337,0.02917133279041991,-0.029481007445637836,-0.0386641407905806,0.004581761866977415,0.007274321454857738,-0.012783636453474042,0.005406244323918934,0.0025948486355191398,0.010520821968871327,0.0035991477238836523,0.0036826101234987687,-0.006259292737876185,-0.0028163663477701046,-0.0007749694358207555,8.302128330815384e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C1/C42.2-C1b-C3-C3cg-C45c,492017,-0.15391469645417785,-0.17908802889214936,-0.10676115306646738,-0.07574049180569786,0.014650081317236696,-9.36978797257485e-06,-0.056781500811449066,-0.009890596515450791,-0.043427395971416094,0.027762777027493347,0.04910657525033997,0.015926683016530694,-0.005367494937728328,-0.022441985570513207,0.06490600034013042,0.020672522964030826,0.06354442055703258,0.013232089797562302,-0.0036879781740651162,0.0021818368008254658,0.008076981214580056,-0.012232235811428993,0.005851338958239295,-0.002656917120597922,0.0014206971380415425,-0.004254414951237356,0.0006350138625117313,-0.000352713668274457,7.00311440269188e-05,5.255292359576093e-06,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
