sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
D1-D1as-D1ba-D1bb-D1ax-D4,494094,-0.27330461128350875,-0.10875169512716888,0.0022951305181127587,-0.027548577662878274,0.049173926321803924,-0.0061740329636571075,0.0,0.0,-1.1227653503596598e-17,5.725983766909617e-17,0.02113706563660133,-0.06064648756870409,0.1510263845583189,0.1601189677970452,-0.029656661689066013,0.004857147441276484,-0.007060625264504385,0.013564135632588046,0.016515640500242245,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as-D1ba-D1dy-D4-D1at-D1bd-D1ea-D1bb,494096,-0.2580883814437065,-0.14731491577013028,-0.0748242217698741,-0.021157319420164085,-0.0747801108922278,-0.005619450769685592,2.875312267037578e-16,-1.123021200051367e-16,8.024989596625157e-17,7.056886250441937e-17,0.03257742473131668,0.011842268501936728,0.14542028549379782,-0.07803159437503836,0.036532878612614575,0.03288683891062783,0.04917822737504417,-0.002709322106809612,-0.004690422109462378,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as-D1bb-D4-D1bd-D1ba-D1mw-D6-D1ax,494098,-0.24461167006564732,-0.17166246134279894,0.08806071046183868,0.11661252489956225,0.006771890396025442,-0.038041099630577745,4.37192730340928e-17,4.702243061294317e-16,-7.292834523779381e-17,6.077252387405104e-16,-0.08009782999717004,-0.11635433115305198,-0.013842049063958018,0.08339155459693369,0.05284341695231277,0.0007917726402204528,-0.034551192069567076,-0.0261663483567686,-0.009271131861178911,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1as-D1bb-D1mx-D6-D1at-D1ax,494099,-0.27420076830091894,-0.05852196996670598,0.07332834655517212,-0.02296075267190266,0.040715681174791594,0.00086876960904374,-1.0536665094679066e-16,-1.4091695235381198e-16,-2.807340601230242e-16,4.327165893547234e-17,-0.06383696156142196,-0.026479608571064264,-0.14417408273249072,0.05994725100449651,-0.11455915714379315,-0.008211808656113075,0.06665070120552913,-0.007618222368121182,-0.005180513135916437,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D17d-D1r-D17e-D17c,494110,0.03893636421076286,0.5212092767777372,-0.13686402964740535,0.05753423271567307,-0.05512663316116951,-0.005357280527542871,1.0628854598244616e-16,-6.959447361006469e-17,-1.0320732435914845e-16,1.0878948257779921e-16,-0.14459674998999736,-0.006248285649291797,0.09590711486746514,-0.03656365807664399,-0.025665190955863275,-0.0518597130599196,-0.0072955804849347715,-0.012322824245936505,0.005460335591672903,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D1as-D4,494126,-0.1709043212727034,0.24459354591728913,0.04133975647578792,-0.027132032724628025,-6.982859598755657e-05,-0.0005781832285079768,1.3301051952393615e-16,7.440471242193157e-18,-4.959202764199943e-17,1.4555846044487872e-16,0.24988758995518498,-0.015602341665552097,0.060880180761237,0.07041906707965674,0.05283725561671676,-0.045710043683773856,0.021125339149229767,-0.016696546020118722,-0.009581536457437699,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1at-D1-D1as,494127,-0.17400941330693825,0.10005485148346362,-0.20542014197664366,-0.035634429792129274,0.09103097341868888,-0.006547314090225879,2.950451469551061e-17,-1.1727597707780878e-16,-3.415807541934077e-17,1.3541433473162838e-16,0.20221146122805178,0.2877756777100826,-0.01563823573735822,-0.002919717516542376,-0.051704199596736944,-0.007612434837894398,-0.016411160879864006,-0.010076324310238857,0.0016393629760834527,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1,494142,0.04628679793683719,0.37000677564563406,-0.22871573532810685,0.024819444425835332,0.01903059879609832,-0.010586159421928082,-3.4900448799673656e-18,7.086306907593801e-17,7.22230494884396e-17,1.4403943275392796e-16,0.27176006409460385,-0.2605357319913281,-0.08888138382721336,-0.03670310493951079,-0.004884703954648232,0.038334435521128,7.028868863457959e-06,0.010608409986878013,0.003999918191771301,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D4,494143,0.26364982202565723,0.03047627827779249,0.6162504978138205,-0.07394312126297692,-0.1235523389722469,0.033655442264136866,6.625603935199351e-17,-1.928917717695685e-16,1.9940602547233697e-16,-3.7242547141568973e-16,0.20448783199248421,0.001384641175884942,0.04190326428366681,-0.05446546511409127,-0.038240860701991876,0.0039335001175383934,-0.011990746613309976,-0.0008088199228038317,0.0036114972323338644,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D6-D17d-D17e-D1r-D17c,493709,-0.0915666213755956,0.3650578098128454,0.17073378221502086,0.019214391885237447,-0.06639365540243944,0.007836669391136584,1.1672469322989084e-16,3.328655566619217e-17,4.908370536746735e-17,6.487311793291279e-17,-0.18067938916597004,0.027581726208111022,-0.1062072853700132,-0.002668555095859231,0.06654110794232704,-0.028433622400882173,0.020042383869858755,-0.00498711821989145,0.005762733156255312,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1my,494251,0.44788790318142985,-0.06234641149047657,-0.029741332881370753,-0.09079143742979469,0.14232798099845403,0.09792259309098932,0.26573449624639717,-0.2913840349386399,0.45525445663477015,-0.1929349667678986,-0.03944488162615133,-0.005525208058477312,0.003294191825966019,0.0016493238293474781,0.006670083195113116,-0.0003830118070930789,0.0005055581150970154,-0.00118753183971626,-0.0013762149009128935,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
