sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
D1-D1as-D1ba-D1bb-D1ax-D4,494094,0.00039192677474978566,-0.02322200433227973,-0.01141184792257434,-0.002046301715616443,0.004788562030878542,0.007570508688919576,0.00036312730061844613,0.0029609047143783302,0.00492207360163827,0.00884617172614451,0.0022730074451959253,-0.0006525390658952429,0.005317397346919183,0.0015748248790917801,-0.0004072664449562634,-0.0002214099824081744,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as-D1ba-D1dy-D4-D1at-D1bd-D1ea-D1bb,494096,0.007726123611989631,-0.012431877503865573,-0.0074220432902864526,-0.00468745856248914,0.0013939031809902676,0.011879829286939137,0.001142533615069983,-0.00029402453605992474,0.00814371027990636,-0.0057967409085252315,0.0006758530905045313,-0.002064800069991648,0.0013341790692197133,0.0015725552759938291,0.0008698321429186212,-0.0005301304388863186,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as-D1bb-D4-D1bd-D1ba-D1mw-D6-D1ax,494098,-0.00940197811091488,-0.015212117663729516,-0.02836063951012175,-0.013008658115983321,-0.002129445542740934,-0.00031095083469630225,-0.005628208120198413,0.0010959735936737042,-0.005481908153729989,0.008900257358346333,-0.00037228868613873873,0.0030651598148559995,-0.001483905819986386,-0.0013728623782199927,0.0006841082337932378,-0.00017654345129749968,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1as-D1bb-D1mx-D6-D1at-D1ax,494099,-0.006337891764178636,0.008468554444431012,-0.012064338239696942,-0.012767868768681386,-0.003485434034712521,-0.003314534325194344,0.0013631871617080773,0.0004888463635429252,-0.006722653578040619,-0.00340861507131395,0.008845622759087231,-0.0058137355283360845,0.0005567568763800615,-0.0009368857727328297,-0.0014818972851151763,-0.0009190398559657311,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D17d-D1r-D17e-D17c,494110,0.009241170436442271,0.05786041758763287,-0.0005769819226720223,0.031065264336294397,0.017633571549986946,0.007325851598230323,-0.0011897902842789268,0.0006700148762469718,0.004569397579220219,-9.023961456176999e-05,0.005601669200967907,0.003140366228942607,-0.00014326608976817867,-0.00033960953018925306,0.00023657769877659892,0.00019142808205341964,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D1as-D4,494126,0.00838653041925905,0.006987316648517975,0.0072431406165931,0.002568900837417664,-0.0011995504079977738,-0.0069809780783408335,-0.00024863595129495105,-0.0013595474427212867,-0.001588278543778481,0.0020255684836014694,-0.0031536860629536876,-0.0031440620875814802,-0.0023694847652948364,-0.0022820344143138775,0.00115825532384965,-0.0012112395008929044,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1at-D1-D1as,494127,0.011849061699469737,-0.002893873949850031,0.015249792683112603,0.008631007938204607,0.00285167589768116,-0.0006208242034828432,-0.0008394144866814632,-0.00050802726929311,0.004512284728810605,0.000521925918910278,0.0005361910327441185,0.0052894936460335515,-0.0005330784935339428,-0.002022262791299968,-0.00015829153629787023,-0.0002643759972495681,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1,494142,0.00017508039321274634,0.00669360462184419,0.022756219063020916,0.015702605066467378,-0.0020380904039137724,-0.005686013575240176,-0.0008230477394450855,-0.0021606146767417056,0.0036453551512400303,-0.0019690379672990393,0.003425193661971576,-0.0008727405616197699,-0.0023288762972637155,0.002525950695035829,-0.0002878274202555588,-3.083552814087332e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D6-D17d-D17e-D1r-D17c,493709,0.00867491150473116,0.052023942485319025,-0.015779817509050144,0.001695552989586342,0.0005745275544218426,-0.017046002148878078,0.001109556624669758,-0.003024109135051035,-0.011111592195141767,-0.00402817777326185,0.004833266317246687,0.005389850858964306,0.0002173227974640611,0.0010822318171407543,0.00016770066456201123,-0.00017881564709422404,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D1ba-D1as-D1at-D4-D6-D1ax-D1bb,493774,0.007014974048662484,0.004966496484910519,-0.0022449335353613396,-0.0017441042879157314,-0.0030547844472769317,-0.004511915276281006,0.00029213477867076696,-0.0002770264952519572,-0.006606579984062921,-0.001074208766302793,-0.0027722889166236146,-0.0007468716472354876,-0.001500608719668965,0.0008443485643484899,0.0014458373361775762,0.0004315640364432631,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
