sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
172031	ML5961	5961_S222_L001_R1_001.fastq.gz	e6e28c4fea7ae595e76714885c665c37d3cc819ae9252d8afb5ede277c74d65b	5961_S222_L001_R2_001.fastq.gz	430da79cb8177f5c0006bd43771c5948250134af0d318bfb2fca6f52c37680ea	899	20231006T210441_mleray	40425	30440	1097	30440	1097	0	0	0	0	28503	22	0	0	0	124	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	7.69594000	-81.63292000	2022	NoData
172030	ML5960	5960_S210_L001_R1_001.fastq.gz	0ec4ab6ac6dfa2622cd24aa857d7c6cea7d74f9af3231b570d51ff57b6c6f325	5960_S210_L001_R2_001.fastq.gz	c0378c8a56e193ad8452649ad96f56bac4869dc0ac71617b0b5fd9630224f4e9	899	20231006T210441_mleray	37058	27860	994	27860	994	0	0	0	0	26141	22	0	0	0	252	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	7.69594000	-81.63292000	2022	NoData
172128	ML6058	6058_S307_L001_R1_001.fastq.gz	5d0803d88c41f745c1c314d6042531b1badc7255246384cebdab113c30b89726	6058_S307_L001_R2_001.fastq.gz	ed95da918742a16849634c54dc0b81e4bb9f024f19a9f89959b5bf681540de46	899	20231006T210441_mleray	49522	38466	1264	38466	1264	0	0	0	0	36028	33	0	0	30	165	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.62800400	-79.05456900	2022	NoData
171966	ML5896	5903_S141_L001_R1_001.fastq.gz	63c05f22a4ed826fbef92f1b0733c39b561d63b16be8cb66194fad2882b4bc00	5903_S141_L001_R2_001.fastq.gz	4aa7add5918652f8254eb83363df3e0f30d0abbab2bfa8f3ed8ac4443999511f	899	20231006T210441_mleray	38027	29048	1052	29048	1052	0	0	0	0	27039	29	0	0	0	342	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.57446600	-79.01645400	2022	NoData
172115	ML6045	6045_S341_L001_R1_001.fastq.gz	5b638cde311a751c5f83538462a97237f6e376acd9a3519ec25e622943357ef8	6045_S341_L001_R2_001.fastq.gz	06f5936edcbbc36650056e9731796b35f4267145b69a0b24d3c7cec9146154c4	899	20231006T210441_mleray	29800	21529	826	21529	826	0	0	0	0	20457	22	0	0	6	123	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.62800400	-79.05456900	2022	NoData
172076	ML6006	6006_S348_L001_R1_001.fastq.gz	f35b2f76446c3d64f24dfe767435a9ad0a8a613f2ad61087aac8d545fc0afec1	6006_S348_L001_R2_001.fastq.gz	953e046efb6719f7f904a7a6733c186742166fd9d950f57d28fafcafc1a446e2	899	20231006T210441_mleray	32004	22800	908	22800	908	0	0	0	0	21756	25	0	0	16	206	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.63245300	-79.02836900	2022	NoData
172072	ML6002	6002_S300_L001_R1_001.fastq.gz	01f2707be2aff7f4a59fba6e5c9b01b1c9a6d2b983a613e944014b0cda67152e	6002_S300_L001_R2_001.fastq.gz	cf5af55d8e31b10d25cdd06f06e9047a406206a48a4a0f33e483a76e8910fd36	899	20231006T210441_mleray	40466	31182	1073	31182	1073	0	0	0	0	29486	21	0	0	0	298	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.63245300	-79.02836900	2022	NoData
171964	ML5894	5894_S117_L001_R1_001.fastq.gz	cd3a2c5ce646a280ab795aec62f91cbcd791cda69159871ab72dd5bd54c038cc	5894_S117_L001_R2_001.fastq.gz	82db79f52bf6f35facab485434fc8df2973a1e79d5e1f3aa7fa352230634ede3	899	20231006T210441_mleray	39149	29645	1058	29645	1058	0	0	0	0	27950	30	0	0	11	267	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.57446600	-79.01645400	2022	NoData
171924	ML5854	5854_S112_L001_R1_001.fastq.gz	1b5dc6744b767fc183323d70f95defeae04a2e0984cc9c13acec3a2dbd53f5b1	5854_S112_L001_R2_001.fastq.gz	d5d3f6991a3a93e1680e5bd9996f0c70b160654ccac8f51e5c94581033ae141e	899	20231006T210441_mleray	37190	25256	975	25256	975	0	0	0	0	24010	20	0	0	0	185	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.63245300	-79.02836900	2022	NoData
172096	ML6026	6026_S303_L001_R1_001.fastq.gz	aad352bdce910d0a39a4a399cd1f10c3158b6725324e5acca8ddb7ba0c7ff98f	6026_S303_L001_R2_001.fastq.gz	c3099ad46a77f3bbac67e4e22043888c43a8e860e2b7eb33075115454775073a	899	20231006T210441_mleray	30741	19992	868	19992	868	0	0	0	0	18673	23	0	0	6	248	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.63245300	-79.02836900	2022	NoData
