"ID","symbtypes","relative","absolute","colony","Region","Locality","replicate","Site","Season","Qubit..ng.uL.","species","clade","symbtypes_s","species_colony"
"ML5961","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",26507,0.929972283619268,212,"Eastern Pacific Panama","Coiba","Branch replicate 1/3","Canales","Upwelling",">60","P.meandrina","D","D1","P.meandrina 212"
"ML5960","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",24141,0.923491832753147,211,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Canales","Upwelling","45,1","P.verrucosa","D","D1","P.verrucosa 211"
"ML6058","C42a/C1d-C1mt-C42.2-C1-C1b",355,0.00985344731875208,189,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Wet","51.1","P.verrucosa","C","C42a","P.verrucosa 189"
"ML6058","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",33224,0.922171644276674,189,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Wet","51.1","P.verrucosa","D","D1","P.verrucosa 189"
"ML6045","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",18818,0.91988072542406,185,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Wet","30.7","P.meandrina","D","D1","P.meandrina 185"
"ML6006","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",19993,0.918964883250598,157,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Wet","1.35","P.meandrina","D","D1","P.meandrina 157"
"ML6002","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",27083,0.918503696669606,155,"Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","5.06","P.meandrina","D","D1","P.meandrina 155"
"ML5854","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",22035,0.91774260724698,156,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling",">60","P.meandrina","D","D1","P.meandrina 156"
"ML6026","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",17123,0.916992448990521,168,"Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","27.3","P.meandrina","D","D1","P.meandrina 168"
"ML6025","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",18125,0.916839496180889,168,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","50","P.meandrina","D","D1","P.meandrina 168"
"ML5962","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",27019,0.915463847665515,212,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Canales","Upwelling","55","P.meandrina","D","D1","P.meandrina 212"
"ML6034","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",17476,0.915165479681609,198,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Wet","13.3","P.meandrina","D","D1","P.meandrina 198"
"ML5853","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",22446,0.914669926650367,156,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Upwelling","6.48","P.meandrina","D","D1","P.meandrina 156"
"ML6021","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",23280,0.913872968516919,167,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Wet","141","P.verrucosa","D","D1","P.verrucosa 167"
"ML6035","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",13700,0.913698812858477,198,"Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Saboga","Wet","10.1","P.meandrina","D","D1","P.meandrina 198"
"ML5832","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",28325,0.912591017462465,199,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Upwelling","11.5",NA,"D","D1","NA 199"
"ML6043","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",17762,0.91250963267403,195,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Wet","79.7",NA,"D","D1","NA 195"
"ML5873","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",4283,0.912441414571794,167,"Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Upwelling","39.5","P.verrucosa","D","D1","P.verrucosa 167"
"ML6004","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",19705,0.912352995647745,156,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","45.8","P.meandrina","D","D1","P.meandrina 156"
"ML6037","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",16031,0.911525558651276,197,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Wet","34.3","P.meandrina","D","D1","P.meandrina 197"
"ML6003","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",24978,0.911373006896048,156,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Wet","91.4","P.meandrina","D","D1","P.meandrina 156"
"ML6057","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",25839,0.911235717308506,189,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Wet","318","P.verrucosa","D","D1","P.verrucosa 189"
"ML5829","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",27025,0.910852713178295,198,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Upwelling","9.97","P.meandrina","D","D1","P.meandrina 198"
"ML5864","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",22258,0.91083193518026,159,"Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Upwelling","30.6","P.verrucosa","D","D1","P.verrucosa 159"
"ML5845","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",22025,0.909372419488026,188,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Upwelling","21.7","P.meandrina","D","D1","P.meandrina 188"
"ML5953","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",14931,0.908598551694761,209,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Canales","Upwelling","44,1","P.meandrina","D","D1","P.meandrina 209"
"ML6036","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",14127,0.907963236711871,197,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Wet","14.6","P.meandrina","D","D1","P.meandrina 197"
"ML5882","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",20873,0.907087914475686,175,"Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Upwelling","157","P.verrucosa","D","D1","P.verrucosa 175"
"ML6044","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",17560,0.90599525332783,195,"Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Saboga","Wet","28.7",NA,"D","D1","NA 195"
"ML5954","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",19218,0.905825791855204,209,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Canales","Upwelling",">60","P.meandrina","D","D1","P.meandrina 209"
"ML6033","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",3403,0.905293961159883,198,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Wet","118","P.meandrina","D","D1","P.meandrina 198"
"ML6048","C1d/C42a/C42.2-C1mt",204,0.0097226193880469,186,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Wet","49.4","P.meandrina","C","C1d","P.meandrina 186"
