"colony","ID","Station.number","Site","Season","cons","species"
157,"ML5856","Branch replicate 1/3","Contadora","Upwelling","45.6","P.meandrina"
157,"ML5858","Branch replicate 3/3","Contadora","Upwelling","34.2","P.meandrina"
158,"ML6190","Branch replicate 2/3","Contadora","Non-upwelling","38.3","P.verrucosa"
158,"ML5861","Branch replicate 3/3","Contadora","Upwelling","40.9","P.verrucosa"
159,"ML5862","Branch replicate 1/3","Contadora","Upwelling",">60","P.meandrina"
159,"ML6192","Branch replicate 1/3","Contadora","Non-upwelling","178","P.meandrina"
165,"ML5866","Branch replicate 2/3","Contadora","Upwelling",">60","P.meandrina"
165,"ML6195","Branch replicate 1/3","Contadora","Non-upwelling","208","P.meandrina"
167,"ML6201","Branch replicate 1/3","Contadora","Non-upwelling","241","P.verrucosa"
167,"ML5872","Branch replicate 2/3","Contadora","Upwelling",">60","P.verrucosa"
169,"ML6207","Branch replicate 1/3","Contadora","Non-upwelling","218","P.meandrina"
169,"ML5878","Branch replicate 2/3","Contadora","Upwelling",">60","P.meandrina"
175,"ML5880","Branch replicate 1/3","MogoMogo","Upwelling","29.4","P.verrucosa"
175,"ML6267","Branch replicate 1/3","Mogomogo","Non-upwelling","85.6","P.verrucosa"
177,"ML5887","Branch replicate 2/3","MogoMogo","Upwelling","41.8","P.meandrina"
177,"ML6261","Branch replicate 1/3","Mogomogo","Non-upwelling","103","P.meandrina"
179,"ML6255","Branch replicate 1/3","Mogomogo","Non-upwelling","89.3","P.verrucosa"
179,"ML5892","Branch replicate 1/3","MogoMogo","Upwelling","35.9","P.verrucosa"
187,"ML6231","Branch replicate 1/3","Saboga","Non-upwelling","600","P.meandrina"
187,"ML5843","Branch replicate 3/3","Saboga","Upwelling","36.8","P.meandrina"
189,"ML6237","Branch replicate 1/3","Saboga","Non-upwelling","367","P.verrucosa"
189,"ML5849","Branch replicate 3/3","Saboga","Upwelling","37.7","P.verrucosa"
196,"ML6219","Branch replicate 1/3","Saboga","Non-upwelling","277","P.meandrina"
196,"ML5825","Branch replicate 3/3","Saboga","Upwelling","36.1","P.meandrina"
197,"ML5828","Branch replicate 3/3","Saboga","Upwelling","26.3","P.meandrina"
197,"ML6216","Branch replicate 1/3","Saboga","Non-upwelling","86","P.meandrina"
202,"ML6246","Branch replicate 1/3","Mogomogo","Non-upwelling","181","P.meandrina"
202,"ML5902","Branch replicate 2/3","MogoMogo","Upwelling","40.8","P.meandrina"
204,"ML6240","Branch replicate 1/3","Mogomogo","Non-upwelling","84.2","P.meandrina"
204,"ML5907","Branch replicate 1/3","MogoMogo","Upwelling","38.2","P.meandrina"
208,"ML5949","Branch replicate 1/3","Canales","Upwelling",">60","P.verrucosa"
208,"ML6348","Branch replicate 1/3","Canales","Non-upwelling","113","P.verrucosa"
209,"ML5952","Branch replicate 1/3","Canales","Upwelling",">60","P.meandrina"
209,"ML6342","Branch replicate 1/3","Canales","Non-upwelling","458","P.meandrina"
210,"ML6345","Branch replicate 1/3","Canales","Non-upwelling","309","P.verrucosa"
210,"ML5955","Branch replicate 1/3","Canales","Upwelling",">60","P.verrucosa"
212,"ML6337","Branch replicate 2/3","Canales","Non-upwelling","122","P.meandrina"
212,"ML5961","Branch replicate 1/3","Canales","Upwelling",">60","P.meandrina"
214,"ML5967","Branch replicate 1/3","Canales","Upwelling",">60","P.verrucosa"
214,"ML6330","Branch replicate 1/3","Canales","Non-upwelling","284","P.verrucosa"
215,"ML6270","Branch replicate 1/3","Machete","Non-upwelling","510","P.meandrina"
215,"ML5970","Branch replicate 1/3","Machete","Upwelling","55","P.meandrina"
217,"ML5976","Branch replicate 1/3","Machete","Upwelling","26.8","P.meandrina"
217,"ML6279","Branch replicate 1/3","Machete","Non-upwelling","325","P.meandrina"
218,"ML6276","Branch replicate 1/3","Machete","Non-upwelling","600","P.verrucosa"
218,"ML5979","Branch replicate 1/3","Machete","Upwelling","58","P.verrucosa"
219,"ML5982","Branch replicate 1/3","Machete","Upwelling","60","P.meandrina"
219,"ML6282","Branch replicate 1/3","Machete","Non-upwelling","183","P.meandrina"
220,"ML6285","Branch replicate 1/3","Machete","Non-upwelling","294","P.verrucosa"
220,"ML5985","Branch replicate 1/3","Machete","Upwelling","55","P.verrucosa"
221,"ML5988","Branch replicate 1/3","Machete","Upwelling","44.6","P.verrucosa"
221,"ML6288","Branch replicate 1/3","Machete","Non-upwelling","180","P.verrucosa"
229,"ML5922","Branch replicate 1/3","Granito","Upwelling","47.7","P.verrucosa"
229,"ML6309","Branch replicate 1/3","Granito","Non-upwelling","424","P.verrucosa"
230,"ML5925","Branch replicate 1/3","Granito","Upwelling","26.6","P.verrucosa"
230,"ML6321","Branch replicate 1/3","Granito","Non-upwelling","945","P.verrucosa"
231,"ML6324","Branch replicate 1/3","Granito","Non-upwelling","115","P.meandrina"
231,"ML5928","Branch replicate 1/3","Granito","Upwelling",">60","P.meandrina"
232,"ML6327","Branch replicate 1/3","Granito","Non-upwelling","70.5","P.verrucosa"
232,"ML5931","Branch replicate 1/3","Granito","Upwelling",">60","P.verrucosa"
233,"ML6312","Branch replicate 1/3","Granito","Non-upwelling","600","P.meandrina"
233,"ML5934","Branch replicate 1/3","Granito","Upwelling",">60","P.meandrina"
234,"ML6315","Branch replicate 1/3","Granito","Non-upwelling","500","P.meandrina"
234,"ML5937","Branch replicate 1/3","Granito","Upwelling",">60","P.meandrina"
