"colony","Region","Locality","replicate","Site","Season","ID","Qubit..ng.uL.","species"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Non-upwelling","ML6182","25.9","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling","ML5851","35.9","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Wet","ML6000","220","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Upwelling","ML5850","18.9","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","ML6181","245","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Non-upwelling","ML6180","92.1","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","ML6001","25.3","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","ML6002","5.06","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Upwelling","ML5852","34.7","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","ML6184","33.2","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Non-upwelling","ML6183","53.6","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","ML6005","5.36","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Non-upwelling","ML6185","65.7","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Wet","ML6003","91.4","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","ML6004","45.8","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Upwelling","ML5853","6.48","P.meandrina"
