tax_id	abundance	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	estimated counts
1701104	0.03441662542032572	Endozoicomonas acroporae	Endozoicomonas	Endozoicomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				676.9061887669662
1698521	0.10428313727915965	Endozoicomonas ascidiicola	Endozoicomonas	Endozoicomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				2051.040744006512
1333660	0.2745017951704948	Endozoicomonas atrinae	Endozoicomonas	Endozoicomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				5398.901307413291
1173026	0.005069539495801597	Gloeocapsa sp. PCC 7428	Gloeocapsa	Chroococcaceae	Chroococcales		Cyanobacteria	Terrabacteria group	Bacteria				99.70770280342582
2023234	0.0013489341415131545	Ancylothrix rivularis	Ancylothrix		Oscillatoriales		Cyanobacteria	Terrabacteria group	Bacteria				26.530836695280723
1124	0.0020975734213111398	Chlorogloeopsis fritschii	Chlorogloeopsis	Chlorogloeopsidaceae	Nostocales		Cyanobacteria	Terrabacteria group	Bacteria				41.255074050347496
1155739	0.0012332817536535284	Moorea producens	Moorea	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Terrabacteria group	Bacteria				24.256185530857596
988946	0.0006130125036483949	Loriellopsis cavernicola	Loriellopsis	Symphyonemataceae	Nostocales		Cyanobacteria	Terrabacteria group	Bacteria				12.05672992175663
305900	0.002971504173449023	Endozoicomonas elysicola	Endozoicomonas	Endozoicomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				58.44354408339539
32054	0.009156354802457783	Calothrix parietina	Calothrix	Calotrichaceae	Nostocales		Cyanobacteria	Terrabacteria group	Bacteria				180.08718625473966
118322	0.0017561046947930118	Lyngbya aestuarii	Lyngbya	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Terrabacteria group	Bacteria				34.53906713718896
2035355	0.0034892748498941057	Kryptousia microlepis	Kryptousia	Tolypothrichaceae	Nostocales		Cyanobacteria	Terrabacteria group	Bacteria				68.62705774771727
1759383	0.0006014901877180899	Phyllonema aviceniicola	Phyllonema	Rivulariaceae	Nostocales		Cyanobacteria	Terrabacteria group	Bacteria				11.830109012039392
948	0.11809473909507946	Anaplasma phagocytophilum	Anaplasma	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria			phagocytophilum group	2322.6873285220227
1938558	0.004403776215980698	Kiloniella majae	Kiloniella	Kiloniellaceae	Kiloniellales	Alphaproteobacteria	Proteobacteria		Bacteria				86.61347061590835
1335967	0.014779265962137198	Devosia pacifica	Devosia	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				290.6786029433144
2724	0.024027721716929185	Hirschia baltica	Hirschia	Hyphomonadaceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				472.5772307285632
1199156	0.01200474278417756	Hirschia litorea	Hirschia	Hyphomonadaceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				236.10928107920427
1121961	0.009189163881433206	Hirschia maritima	Hirschia	Hyphomonadaceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				180.7324752200283
77551	0.0010598123151754249	Wolbachia endosymbiont of Onchocerca volvulus	Wolbachia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria				20.844388614870255
100901	0.003995480106826194	Wolbachia endosymbiont of Onchocerca ochengi	Wolbachia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria				78.58310274105757
66084	0.00668705177300369	Wolbachia sp. wRi	Wolbachia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria				131.52093427143657
307502	0.0018727804665821	Wolbachia endosymbiont of Drosophila ananassae	Wolbachia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria				36.833846216736745
77038	0.0013872170610022831	Wolbachia endosymbiont of Drosophila simulans	Wolbachia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria				27.283785155792906
80849	0.0035567462846891667	Wolbachia endosymbiont of Brugia malayi	Wolbachia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria				69.95408592726653
2043170	0.003126507340160377	Emcibacter congregatus	Emcibacter	Emcibacteraceae	Emcibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				61.4921463662743
785	0.0014622982730877932	Rickettsia typhi	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria			typhus group	28.760482435090715
782	0.0007059773763165001	Rickettsia prowazekii	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria			typhus group	13.885163037392923
951	0.025412195461682493	Neorickettsia sennetsu	Neorickettsia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria				499.80706034037127
950	0.016815221988750236	Neorickettsia risticii	Neorickettsia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria				330.72178607473967
33992	0.001001026136744324	Rickettsia rhipicephali	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria			spotted fever group	19.688182057487364
33991	0.0026876015854773866	Rickettsia montanensis	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria			spotted fever group	52.85974798316924
1819566	0.015348956992680747	Fulvivirga lutimaris	Fulvivirga	Fulvivirgaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				301.88328613204493
1173032	0.002521914727683916	Chamaesiphon minutus	Chamaesiphon	Chamaesiphonaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				49.60101886408726
1807358	0.005767851911872643	Stanieria sp. NIES-3757	Stanieria	Dermocarpellaceae	Pleurocapsales		Cyanobacteria	Terrabacteria group	Bacteria				113.44211140271115
374981	0.0067738183437461566	Synechococcus sp. PCC 7003	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				133.22745918479941
2546366	0.0011443341773267179	Rippkaea orientalis	Rippkaea	Aphanothecaceae	Chroococcales		Cyanobacteria	Terrabacteria group	Bacteria				22.50676459966189
1790137	0.012745186508803545	Wenyingzhuangia fucanilytica	Wenyingzhuangia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				250.67232825514813
861111	0.034549255906067944	Lutibacter aestuarii	Lutibacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				679.5147651605444
1578017	0.0014446466921983084	Aquimarina hainanensis	Aquimarina	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				28.413311142156328
35791	0.0009186733721653411	Rickettsia massiliae	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria			spotted fever group	18.06846788374793
337479	0.0006434101498655157	Rickettsia endosymbiont of Bemisia tabaci	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria				12.654590827554962
1622118	0.001508543870792609	Lutibacter profundi	Lutibacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				29.670040850749036
1610527	0.002941007705702053	Devosia honganensis	Devosia	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				57.84373955574798
2029865	0.003244187991575812	Pelagibacterium lentulum	Pelagibacterium	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				63.80668941831307
33994	0.002235631373979419	Neorickettsia helminthoeca	Neorickettsia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria				43.970397863427216
1783274	0.0029777808065373996	Arsenicitalea aurantiaca	Arsenicitalea	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				58.566992902977574
2026785	0.0007729964728270466	Rhodobiaceae bacterium		Rhodobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				15.203294627562352
111781	0.007661309363267048	Leptolyngbya sp. PCC 7376	Leptolyngbya	Leptolyngbyaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				150.6826325567363
443610	0.0048619388251220814	Devosia geojensis	Devosia	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				95.6246128125011
