ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
491845	C	C1d	None	56	188	C1d/C42.2/C1/C3cg-C1b-C3cw-C115k-C45c	106-1-2-4-108-112-117-5	0.680[0.036]-0.191[0.025]-0.063[0.011]-0.020[0.004]-0.019[0.005]-0.014[0.007]-0.007[0.002]-0.007[0.001]
491811	C	C1d	None	50	200	C1d-C42.2-C1-C1k-C1b-C3cg	106-1-2-4-108-109	0.700[0.041]-0.191[0.026]-0.059[0.011]-0.020[0.008]-0.016[0.005]-0.015[0.005]
492846	C	C1d	None	41	90	C1d/C1-C1mt-C42.2-C3cg-C1b-C3cw	106-1-93426-2-108-4-112	0.659[0.025]-0.114[0.036]-0.108[0.043]-0.063[0.008]-0.024[0.006]-0.021[0.005]-0.011[0.003]
493242	C	C1d	None	29	40	C1d-C1mt-C1nq-C42.2-C1-C42em	106-93426-270782-1-2-32895	0.703[0.028]-0.118[0.027]-0.060[0.020]-0.048[0.014]-0.036[0.015]-0.035[0.016]
491765	C	C1d	None	29	94	C1d-C42.2-C1-C1b-C3cg-C3cw	106-1-2-112-4-108	0.706[0.042]-0.183[0.036]-0.061[0.011]-0.017[0.005]-0.017[0.004]-0.017[0.005]
491914	C	C1d/C42a	None	29	32	C1d/C42a/C42.2-C1-C1b	106/82-1-2-4	0.406[0.212]/0.348[0.234]-0.147[0.040]-0.073[0.019]-0.027[0.011]
491769	C	C1d	None	28	40	C1d-C42.2-C1-C1b-C3cg-C3cw-C45c	106-1-2-4-108-112-117	0.712[0.040]-0.177[0.028]-0.061[0.014]-0.016[0.003]-0.015[0.004]-0.012[0.005]-0.006[0.001]
491771	C	C42a	None	25	153	C42a/C42.2/C1/C42b-C1b-C1az-C1au-C3	82-1-2-4-83-20-32-214	0.664[0.057]-0.132[0.031]-0.089[0.018]-0.040[0.011]-0.031[0.006]-0.017[0.004]-0.015[0.003]-0.012[0.004]
491781	C	C42a	None	17	28	C42a/C42.2-C42ak-C1-C1b-C42al	82-92051-1-2-4-22163	0.603[0.024]-0.209[0.040]-0.094[0.018]-0.046[0.010]-0.028[0.004]-0.020[0.015]
493014	C	C1d	None	15	16	C1d-C42.2-C1-C1nr	106-1-2-92099	0.730[0.046]-0.170[0.034]-0.058[0.017]-0.042[0.015]
